gloss,proto_form,trique,mixtec_daughter
I,*yuʔu,ùnj,"na (informal), ri (formal)"
this,*weyè,nihánj,"yo'o, xa'a"
that,*yuku à,"dan, yo'",yukan
when,*awà,"me aman, me orá","nama, na, nuu"
how,*ndese,dàj,nasaa
other,*tuku,yo'ó,ɨnka
two,*uwi,vìj,uvi
three,*one,va'nùj,uni
four,*kɨwìʔ,ca'ànj,kuun
five,*oʔò,"ùn', u'ùn'",u'un
big,*kaʔnu,,"ka'un, chee"
heavy,*weyi,èè,vee
woman,*yáʔą́ʔ,chanà,"ña, ña ɨ'ɨ"
man (adult male),*teye,"chii, no'o, snó'o",taa
man (human being),*yè yɨwɨʔ,yuviì,ɨvɨ
husband,*yɨɨʔ,nicà,ii
animal,*kɨtɨʔ,xcuu,kɨtɨ
bird,*tɨ laa,xtaj,saa
snake,*kooʔ,xcuáá,koo
tree,*yutùʔ,chruun,"yutun, yujnu"
meat (as in flesh),*koyò,neè,neè
blood,*nɨyɨ`ʔ,ton,nɨñɨ
fat (noun),*seʔè,"ramii, casté (oil)",xa'an
egg,*ndɨwɨʔ,chruj,ndɨvɨ
horn,*ndɨkɨʔ,cúú raà,ndɨkɨ
tail,*luʔwèʔ,tucuáán,"su'ma, ndo'ma"
feather (rather not down),*towì,,tuu
ear,*loʔo,xréé,so'o
nose,*sitìʔ,tacúún,xɨtin
mouth,*yuʔuʔ,tu'va,yu'u
tooth (rather not molar),*noʔo,cúú yan',un'un
wing,*ndixì,xcóó,ndɨxin
guts,*xɨtɨ,xri',xitɨ
neck,*sukùʔ,chihá,sukun
to eat,*xexiʔ,chá,kaki
to see,*ndeʔya,"ne'en, ni'yàj","kuni, koto"
to smell (sense odor),*siko,uchrunj,"ta'mi, kuxa'an"
fear,*yuʔwi,chu'vi',yu'u
to sew,*ku ɨku,nuvá,kiku
moon,*yòòʔ,yavii,yoo
water,*ndute,na,nducha
rain,*sawiʔ,maàn,"savi, dau, sau"
river,*yute,chráá,yuta
salt,*yɨɨ`ʔ,yaan,ñɨɨ
stone,*yuuʔ,yahij,yuu
wind (as in breeze),*tatiʔ,nanà,tachi
to smoke,*yuʔwè,"catze', xrón (noun)",ka'mi
fire,*yuʔù,,ñu'un
mountain,*yukuʔ,quij,yuku
red,*kweʔe,ve'èj,kua'a
yellow,*kwaà,"míí, mayàj",kuaan
day (daytime),*kɨwɨʔ,güii,kɨvɨ
year,*kwiya,yo',kuiya
warm (as in weather),*iʔniʔ,,i'ni
good,*waʔa,"nò, sà'",va'a
"rotten (as, a log)",*teʔyu,richruù (of wood),kue'e
round,*kute,"cachrìin, xòò",tɨloo
smooth,*lɨʔwɨʔ,nu'vè,"kama, lɨɨ"
near,*yetì,nichrùn',yati
because,*wati,che'é rej,chi
name,*sɨwɨʔ,se-chuvìi,kɨvɨ
house,*weʔyi,ve',ve'e
wall,*nawà,tacóó ve',nama
deer,*isu,xtaj,idu
mouse,*tɨyɨ`ʔ,xtuu,lusu
navel,*lendu,stúj,xitɨ ko'o
below,*nino,nicà',"vee, nɨnu"
to open,*nuneʔ,a'núj,kuiña
six,*iyò,vatàn',iñu
seven,*uxe,"chìj, ichìj",uxa
eight,*one,"tùnj, itùnj",una
ten,*uxi,"chì', ichì'",uxi
